WKT,NAME,Shape_Leng,Shape_Area
"MULTIPOLYGON (((1410791.9836171924 -734361.01058658212,1410701.9267885247 -734420.13737117196,1410787.5415643281 -734423.48092126066,1410772.0405137618 -734557.49056369264,1410811.1826535249 -734579.18477851804,1410842.8240575558 -734453.78829533327,1410889.6925624786 -734806.03906762728,1411089.293204918 -735259.91579452797,1411155.5879968202 -735534.99704066117,1411265.9544946509 -735713.02594696113,1410837.4914850071 -735805.4489754081,1411858.7146265558 -737648.41551593726,1411987.4930200598 -737483.81291742111,1411966.5846413835 -737340.32275087922,1412857.7862061358 -738708.27859716618,1413579.7927558257 -738595.7418528113,1413663.7005601546 -738663.16081889404,1413939.3007865304 -739030.50821228535,1413822.5526833422 -739282.1859275226,1413805.7007580423 -739430.56386447907,1413904.995365995 -739442.7428273221,1413924.226026074 -739368.91482850409,1413877.0065500161 -739347.18719220406,1414081.1934457794 -739296.68978078349,1414233.8385813669 -739510.04380056693,1414494.7300853359 -739576.01651617594,1414349.4256369418 -739702.97999143344,1414306.8613253606 -739832.77154921123,1414396.5361928854 -739901.31567542849,1414582.5829376264 -739912.27419320343,1414709.4429388845 -740159.45395607571,1414774.1879952375 -740427.55937439436,1414994.4883644113 -740428.04715803755,1414968.6349083609 -740396.2022742948,1414978.9764704318 -740360.75410074741,1415067.9510945461 -740565.51262841572,1415124.0872661627 -740594.45321870106,1415128.3955539826 -740533.48892231844,1415147.7492170036 -740525.09044514864,1415159.3561426131 -740623.20780882239,1415250.6158106793 -740674.34770518262,1415273.3919892753 -740629.68383096368,1415420.1543232589 -740735.96886885806,1415535.7074953297 -740684.74575243704,1415570.7432255317 -740739.15702731127,1415878.3789703927 -740690.73713956343,1416109.7449906936 -741170.45863087266,1416238.1260594877 -741618.14803156129,1416701.943638294 -742804.7237445988,1416856.0070735735 -742936.99929927313,1415750.5174809527 -743124.21918027056,1415736.0234633249 -743036.3664064206,1415606.7551098531 -743058.13412862108,1415599.1155574515 -743018.89971438609,1415723.3554211042 -742959.5896026463,1415548.8314600878 -741969.5338737428,1415159.6486897368 -742032.66864542593,1415085.140899899 -741641.53322534729,1414690.2269250862 -741707.03747557942,1414597.7330373763 -741181.87670480052,1414373.948993762 -741332.46066045819,1414397.1384943726 -741373.73894026305,1414213.5134828882 -741440.41624571953,1414435.8054413886 -742599.23039786646,1414812.059917453 -742417.38755088369,1414881.3505651045 -742798.19859099679,1415222.9933143244 -742739.21485398267,1415303.3496151229 -742999.00593056763,1414917.3075527092 -743008.35562003276,1414925.7598337065 -743069.1745477618,1414800.0452711841 -743072.21684468316,1414798.1223392345 -743180.93889432144,1414748.808411814 -743138.30304688576,1414666.6740374938 -743189.05907707696,1414523.5727707022 -743156.45056224905,1414543.1055245916 -743264.98498376715,1414155.103552439 -743332.50066896493,1414200.5194359561 -743581.76617394737,1413669.7098877309 -743742.22985345719,1413310.1268841387 -743361.40592678858,1413099.3880442623 -742839.42195051129,1412998.0631894155 -743627.0038760358,1412407.3841421939 -743725.19903552381,1412264.6533650463 -743590.14087178442,1412149.5244364089 -743591.41962055385,1412049.2458936919 -743521.80650027411,1412074.7675630311 -743396.75296330429,1411972.0069464284 -743271.84515152685,1411939.5688825524 -743002.22458132054,1411976.4600764406 -742995.70641841984,1411958.9366283698 -742896.49105241976,1412133.1740011789 -742865.70738731453,1412125.4685982268 -742793.51986912393,1411880.4050657668 -742439.32415574673,1411809.5460090733 -742426.44869401038,1411825.0579635121 -742503.6474343891,1411714.7102569484 -742521.15787708771,1411695.4664756602 -742462.75176429166,1411586.5142915042 -742472.05442181311,1411565.4696124529 -742391.23532378417,1411737.0026332648 -742317.92628573324,1411726.6681971441 -742271.53710564156,1411449.3957589078 -742262.87109696923,1411425.349971557 -742353.42615800537,1411515.4257536337 -742492.01855716272,1411621.4006970783 -742474.75360148423,1411614.6068223389 -742601.60660617193,1411539.7488888376 -742615.53386595473,1411570.3860296931 -742695.62425105297,1411238.8658650208 -742749.53517738997,1411223.0250995744 -742659.60230291332,1411348.6446510546 -742636.87477796304,1411332.0014581573 -742548.98856206343,1411272.0527044055 -742604.77081962023,1411264.039816486 -742560.23680339893,1411206.9670529542 -742569.61606503022,1411165.8005874061 -742378.61408061034,1411225.6329479751 -742365.53089857416,1411211.7771882815 -742280.86387056846,1411108.425229687 -742201.4264212097,1410964.9278976703 -741815.01149936416,1411035.93381772 -741757.87244232197,1410892.9094570384 -741748.85290698172,1410933.2026874265 -741857.33237085072,1410782.3469588347 -741907.759006868,1410817.7959150227 -741749.19932609936,1410579.9597176581 -741747.93829553423,1410627.1324010098 -741615.94705320755,1410580.0971375732 -741421.20454718219,1410535.3173234132 -741431.64294247422,1410518.7856759082 -741384.60342553433,1410605.7706196667 -741338.4888744686,1410505.970568693 -741352.35515202256,1410469.1718740389 -741201.30084941327,1410088.8682211658 -741291.50670600368,1410052.3371588583 -741139.84601322096,1410002.7346822065 -741151.78009451786,1409992.3237879712 -741107.22047466156,1410042.0523017331 -741095.25591987383,1409909.9631921754 -740579.86960552318,1409857.6366820664 -740593.98783869657,1409918.6629246131 -740716.85085896077,1409799.9876139893 -740744.14770436077,1409794.9416094453 -740652.74789227766,1409892.3468313441 -740507.44013942394,1409802.1743820347 -740260.88832336001,1409856.44154733 -740308.09302584489,1409740.8448750086 -739917.47559721104,1409780.8743927134 -739905.17130813363,1409743.2878685172 -739782.67973024491,1409703.2587220671 -739794.98381318001,1409464.3293491777 -739020.83670117776,1409709.3994727633 -738944.0807054668,1409634.6436660832 -738701.2323311331,1409918.4934679584 -738613.78955975862,1409847.5694219673 -738404.75900796195,1409562.8967144582 -738475.63294172822,1409595.9540791514 -738370.40176919918,1409504.1630321599 -738267.15529563208,1409572.4072891101 -738245.28924322652,1409563.3815627145 -738188.32013626711,1409486.7569463686 -738213.24183026364,1409410.1101080719 -737988.15913488739,1409617.3750213268 -738016.78921441699,1409699.7774690995 -737920.89755078987,1409757.0702318228 -737934.64641888125,1409716.1095030722 -737772.95079833933,1409845.0568641128 -737768.48849931406,1409618.4726851699 -737411.70042293577,1409697.6373945861 -737333.07451733435,1409252.9510060579 -736643.28189819318,1408918.4370348738 -736970.65237440018,1409007.8595756923 -737061.25411848037,1408650.4396658365 -737120.4128000983,1408597.5092886575 -736771.93098647951,1408655.5691125295 -736706.05153808696,1408569.6986336552 -736619.44701900706,1408563.3062281627 -736674.13888705638,1408208.6880305801 -736729.90307530819,1408150.3959103753 -736519.68521242472,1408326.7139764125 -736427.89380051219,1408246.8924765643 -736336.78480813687,1408694.1623418138 -736163.56275409414,1409276.4195344208 -736059.98550081055,1409123.6324424304 -735819.33721349319,1408900.199995867 -735194.71620477014,1409619.5142811926 -736149.4841443114,1409966.8962614629 -735942.40278162505,1409929.627917415 -735769.8143315902,1409814.6413279707 -735789.40747994767,1409859.1419294816 -735983.95345553593,1409636.356267941 -736115.0865852267,1408683.6220985684 -734835.38500922092,1408789.6506739242 -734720.298000813,1408824.5277100338 -734767.19563689793,1409212.6259541782 -734475.6698689796,1409102.9532156982 -734329.14086518844,1409164.3424118455 -734283.03998710983,1409045.5561330691 -734124.33403063426,1410358.4256578181 -733243.67603421444,1410550.3109302477 -733498.51509841008,1410791.9836171924 -734361.01058658212),(1411281.289426663 -741605.82451377867,1411068.3706851262 -741805.70058338682,1411110.9974906261 -741867.02179654711,1411159.3021386929 -741819.63081907865,1411340.7125055289 -742043.52817443002,1411232.9156146713 -742208.23580328154,1411323.9032071566 -742281.77503341436,1411333.9095118751 -742172.87994750519,1411296.4747366246 -742144.2627231545,1411333.1712030806 -742095.88887714734,1411404.261460189 -742147.80651085731,1411525.378969362 -742133.03709150641,1411657.161759079 -742004.03218332888,1411479.3856357546 -741729.39087619237,1411492.132191061 -741601.39186797186,1411365.8073636743 -741522.84836953878,1411281.289426663 -741605.82451377867),(1413479.4802541281 -741997.65061078826,1413247.0568407008 -742174.7390486208,1413129.2142945442 -742186.98976982897,1413065.5901536818 -742354.60549523495,1413292.6442387637 -742349.43860097916,1413307.3251001842 -742271.91221940028,1413570.3183613932 -742299.53994209366,1413479.4802541281 -741997.65061078826),(1413002.0172617391 -743422.92138528754,1413001.4948888498 -743426.60066210618,1413002.2815458691 -743424.8379976087,1413002.0172617391 -743422.92138528754)))",CITY OF ST. AUGUSTINE,193902.11276100000,355247045.03899997000
"MULTIPOLYGON (((1416860.5895876787 -742945.94709591812,1416918.1375012693 -743091.63588966941,1417099.4739626502 -744255.11527263385,1417879.8324370233 -747271.69857647922,1417135.2993499637 -747396.06304985308,1417036.0180035378 -747170.41662442579,1416983.4485340158 -747179.25890385488,1417008.0148326021 -747235.08397987729,1416551.028185619 -747312.02463169105,1416431.6406578943 -747033.93458370678,1416511.2975665473 -746970.56966041203,1416506.5287843007 -746912.68428998045,1416742.2981061041 -746873.73556758126,1416761.832221162 -746959.79520644248,1416938.4360508141 -746948.62884849496,1416807.8445879633 -746655.21283865208,1416737.0768825591 -746646.05641108355,1416795.0296995188 -746626.43844760593,1416306.7902827933 -745515.44414392265,1416139.6682739772 -745507.48855275335,1416118.1365339728 -745449.5928933036,1416265.8544783883 -745422.84085607587,1416139.2510349534 -745135.14540984924,1415708.8503823923 -745207.94895552588,1415639.8530076724 -744810.66244023433,1415442.839591681 -744844.04276988865,1415305.2020501564 -744062.37095059396,1415501.1282327957 -744031.21579692978,1415617.2614593883 -744407.9847692633,1415901.4783511863 -744357.65032566932,1415750.0767691773 -743981.56341101893,1415393.4179369174 -743373.53770145925,1415339.5160489944 -743188.27966883674,1416860.5895876787 -742945.94709591812),(1416888.5061978397 -747055.14907668578,1416895.9146202719 -747064.66741977911,1416860.5923283529 -746991.7090935352,1416873.5275957794 -747021.12041043944,1416888.5061978397 -747055.14907668578)))",CITY OF ST. AUGUSTINE BEACH,49888.86645690000,60648643.06449999700
"MULTIPOLYGON (((1396216.9267109153 -763323.18817161047,1396302.1024634498 -763320.82517759479,1396351.7835063271 -763617.19364691398,1395987.5472768298 -763671.85485743894,1395915.1620483547 -763118.02911939088,1396184.9441438548 -763258.42293030478,1396216.9267109153 -763323.18817161047)),((1395855.0433789964 -763021.71190547058,1395862.6991295191 -763067.52000461763,1395618.935915703 -762945.14343581465,1395831.0998924894 -762909.15306860604,1395855.0433789964 -763021.71190547058)),((1397158.7925920733 -763498.24724391778,1397195.8435854309 -763606.59257354063,1397144.8995288142 -763302.83160212415,1397188.8810791546 -763493.44847344444,1397551.1317676366 -763435.66779402364,1397642.4627228782 -763953.70079512382,1396373.1515424752 -763304.4181457645,1396277.6893166674 -763028.22800510412,1396348.2403828963 -763016.02967175574,1396317.7690643235 -762823.42650486866,1397028.9588238953 -762715.76091164269,1397158.7925920733 -763498.24724391778)),((1396029.0226419203 -761638.57737199019,1396832.057605128 -761519.15860881773,1396937.8106338165 -762130.57653537195,1397062.208074407 -762107.24441411276,1397090.4984184965 -762276.3997964866,1396973.4078644512 -762329.91768668394,1397096.5297244575 -762334.37451528222,1397330.299962454 -762245.90755126928,1397402.3886255065 -762646.85254032968,1395590.3586002188 -762937.61877285456,1395343.532049434 -762811.24981660582,1395905.2555571171 -763112.76258878969,1395978.5159426599 -763673.28584906412,1395558.7073676074 -763739.79815216362,1395623.969542016 -764136.93465824053,1394842.2517345434 -764259.87607086962,1394665.5180353867 -763091.25937938294,1394799.0057448978 -763069.09767026466,1394793.933222 -762851.60182875127,1394852.8417027257 -762811.43537865172,1395199.1979931346 -762633.89504788048,1395195.0794304358 -762729.74018109939,1395228.2727106439 -762625.4331735461,1395409.8068725779 -762593.37741012324,1395427.6896546108 -762378.44995883515,1395715.0351100224 -762169.83105788776,1395635.1688533023 -761707.48176478769,1395986.4172842035 -761646.0932266044,1395967.2235628001 -761533.97380371159,1396011.002702021 -761526.250934385,1396029.0226419203 -761638.57737199019)))",TOWN OF HASTINGS,62946.95964570000,45154361.82660000000
"MULTIPOLYGON (((1425154.3534895333 -762828.94634997414,1424496.3099930438 -762946.65641039039,1424414.9607763852 -762832.4034195327,1425018.236072097 -762556.88939057651,1425154.3534895333 -762828.94634997414)),((1424293.6915228001 -762718.93846543669,1424386.8151875685 -762963.93043356796,1424532.7439025391 -763096.54994477087,1424613.4599486627 -763428.96674034058,1424545.5646068756 -763464.21085759986,1424472.5092437218 -763473.12549774558,1424392.1990620662 -763355.37486197532,1424422.5494412559 -763174.2438718481,1424325.8076380638 -763089.48456861067,1424353.944978883 -763020.42339602637,1424307.3472663776 -762976.46706497925,1424289.6302432152 -762772.58715240867,1424204.8410685842 -762791.25796596147,1424108.5600093445 -762599.11216207757,1423979.8617441033 -762496.23036144662,1424026.3755518817 -762340.85354847915,1424295.6289515491 -762664.80327108351,1424293.6915228001 -762718.93846543669)),((1423962.0758984229 -762050.33808085637,1423913.089699554 -762077.71909835574,1423664.8715367333 -761983.41104175325,1423645.2183836822 -761702.34193275159,1423535.2447147481 -761564.33912773803,1423568.4573142985 -761481.32975539984,1423783.3335557142 -761473.3409322704,1423747.152774459 -761651.53516358137,1423853.8139282377 -761691.77586776658,1423845.8627353935 -761944.50226827106,1423933.5350683583 -761960.44299666327,1423962.0758984229 -762050.33808085637)),((1423436.6545500739 -761257.78997827682,1423326.8521826072 -761190.16462132439,1422980.2510292688 -760770.6051040485,1422916.0930655021 -760482.01226902416,1422989.3848996048 -760312.91720503219,1423689.2884874456 -761129.6262368724,1423714.9648778797 -761212.83811690263,1423436.6545500739 -761257.78997827682)))",TOWN OF MARINELAND,30175.18753270000,7708922.49285000000
