"WKT"
"MULTILINESTRING ((1399665.0036473123 -706247.22553868673,1399561.8097530678 -706298.15466489957,1399490.8094995443 -706243.8878172281))"
"MULTILINESTRING ((1401638.7763652885 -707802.71665387915,1401564.2972097469 -707598.94317445485))"
"MULTILINESTRING ((1403844.3346412743 -713380.35045249935,1405253.9983728481 -717001.04329886194))"
"MULTILINESTRING ((1398976.7091759695 -703736.72864605277,1398998.8380324286 -703941.00910928415,1398704.8684454658 -703962.38249484694))"
"MULTILINESTRING ((1398327.9724239337 -703477.03418412874,1398252.5466631462 -703488.46496777167))"
"MULTILINESTRING ((1410315.1653029912 -730557.66757394338,1410264.9550187553 -730581.19343441841))"
"MULTILINESTRING ((1399872.4118450393 -705881.01234275359,1399872.9393264072 -705883.69721987762))"
"MULTILINESTRING ((1401118.3294184059 -710078.39378828893,1401125.5443132233 -710088.99084351631))"
"MULTILINESTRING ((1399609.6383880058 -709259.81804581394,1399500.5467155471 -709295.85500766814))"
"MULTILINESTRING ((1397198.8072665443 -702116.57404138648,1397206.6645713616 -702037.52051357576))"
"MULTILINESTRING ((1397947.3303672979 -701761.28773597383,1397948.5173715169 -701731.86901705083))"
"MULTILINESTRING ((1400177.0083819653 -709200.82570234477,1400242.7248230409 -709195.9210792029))"
"MULTILINESTRING ((1400185.3891136302 -706557.04770917678,1400246.212245337 -706546.62227071077))"
"MULTILINESTRING ((1397985.4727876897 -702167.14461551816,1397994.4649654881 -702218.52735771867))"
"MULTILINESTRING ((1401039.33032299 -713023.89348945476,1401001.1842638471 -712861.08650662028,1401160.9008142313 -712788.66219514562,1401215.1155055612 -712903.64133634605,1401201.5218571776 -713050.33898215939))"
"MULTILINESTRING ((1400575.6145681697 -705098.93010619911,1400931.0404614976 -705959.18465634424))"
"MULTILINESTRING ((1399925.9161183769 -705496.78180537501,1399944.0412017794 -705539.02533688664))"
"MULTILINESTRING ((1401594.7292664424 -709408.04288761993,1401625.9367127956 -709577.62512248999,1401695.8665775871 -709554.14994390297))"
"MULTILINESTRING ((1398353.6826924374 -702234.56670983124,1398374.0187732589 -702107.43212440365))"
"MULTILINESTRING ((1400609.1825689799 -707327.11087906861,1400520.5813517226 -707430.87320274371,1400420.0385437147 -707464.30293152214))"
"MULTILINESTRING ((1400177.445936016 -706661.92007055494,1400237.7973977793 -706660.6316873749,1400249.0136075225 -706599.92138659465))"
"MULTILINESTRING ((1401009.0623833886 -707702.69656778569,1400980.8034438021 -707656.72854443395))"
"MULTILINESTRING ((1399944.8166679656 -705706.48239226372,1399999.7133826886 -705782.93103587138,1400119.0629980634 -705755.80340636452))"
"MULTILINESTRING ((1399080.9699612122 -710043.38484939851,1399417.2973809021 -710916.61480674311))"
"MULTILINESTRING ((1396590.0362672394 -703388.11290617136,1396522.8625198689 -703422.88146165351))"
"MULTILINESTRING ((1398330.6516170921 -701961.91992147034,1398344.4568108851 -701926.1248671636))"
"MULTILINESTRING ((1401231.8945061706 -706684.36714561866,1401181.6390109821 -706719.41512142005,1401231.7022729341 -706878.00858303334))"
"MULTILINESTRING ((1401265.796670143 -713102.21414869709,1401303.8331135127 -713206.52652352187))"
"MULTILINESTRING ((1397865.3897834879 -702074.14628664299,1397731.9340187937 -701980.98895055288,1397570.9378041457 -701982.43864196201))"
"MULTILINESTRING ((1399123.173741617 -702639.16047830076,1399129.1775200611 -702638.85803473485))"
"MULTILINESTRING ((1398694.5992536854 -701842.8426817361,1398547.7870200588 -701867.73657166271))"
"MULTILINESTRING ((1397761.0973124064 -703593.49955880712,1397639.3464179025 -703480.50165420817))"
"MULTILINESTRING ((1398924.3602413086 -704161.08790136664,1399046.3605409623 -704147.54505443375))"
"MULTILINESTRING ((1398223.5748202093 -706978.23735095817,1398389.1212534492 -706803.12765974831))"
"MULTILINESTRING ((1400681.0716951841 -710962.72870918352,1400727.6919682387 -710948.19447174494))"
"MULTILINESTRING ((1398277.4784643927 -704541.20941815374,1398140.3298130597 -704555.05720421858))"
"MULTILINESTRING ((1398526.9380253227 -708600.43696538999,1398630.5747731784 -708670.29124886892))"
"MULTILINESTRING ((1410701.9141680493 -731648.66167244792,1410745.4372636597 -731630.56661248603))"
"MULTILINESTRING ((1399418.7878701049 -711203.74742012774,1399358.4450511336 -711223.36321372713,1399337.0801197679 -711187.13421880314))"
"MULTILINESTRING ((1400851.4838696525 -706644.21873658733,1400793.8834531703 -706688.72636059916,1400812.8823866763 -706726.55066240393,1400864.6734398315 -706709.74577383883))"
"MULTILINESTRING ((1399239.4979388802 -705366.58185429848,1399217.3844643435 -705380.16898023034))"
"MULTILINESTRING ((1398300.8215523404 -702069.08978523861,1398126.4439890776 -702093.28815722419))"
"MULTILINESTRING ((1399266.3393409587 -704555.79879550613,1399055.6259947689 -704534.97303882404))"
